composition,formation_energy (eV/atom),mode_AtomicWeight,max_Electronegativity,avg_Electronegativity,dev_Electronegativity,sum_Electronegativity,mode_Row,mode_GSvolume_pa,mode_CovalentRadius,range_Electronegativity,avg_Column,dev_NpUnfilled,mode_MendeleevNumber,mode_MeltingT,mode_Number,min_CovalentRadius,dev_NpValence,min_MeltingT,mode_SpaceGroupNumber,sum_NpValence,mode_NValence,max_MendeleevNumber,dev_NdValence,avg_CovalentRadius,avg_NpValence,min_AtomicWeight,min_SpaceGroupNumber,min_GSvolume_pa,mode_Column,min_Number,sum_SpaceGroupNumber,mode_NpUnfilled,sum_MeltingT,mode_NpValence,avg_MeltingT,mode_NUnfilled,avg_SpaceGroupNumber,avg_NdValence,range_SpaceGroupNumber,sum_CovalentRadius,sum_Column,max_NpValence,dev_SpaceGroupNumber,max_Column,sum_NdValence,sum_GSbandgap,range_NpValence,avg_MendeleevNumber,sum_MendeleevNumber,dev_CovalentRadius,max_NValence,sum_NpUnfilled,range_Column,max_GSbandgap,range_GSbandgap,dev_Column,max_NdValence,max_MeltingT,dev_GSbandgap,range_NdValence
Fe1 C1 O3,-1.789805682,15.9994,3.44,2.9400000000000004,0.5999999999999999,14.7,2.0,9.105,66.0,1.61,14.0,0.8,87.0,54.8,8.0,66.0,1.44,54.8,12.0,14.0,6.0,87.0,1.92,81.2,2.8,12.0107,12.0,5.64,16.0,6.0,459.0,2.0,5798.4,4.0,1159.6800000000003,2.0,91.8,1.2000000000000002,217.0,406.0,70.0,4.0,95.76,16.0,6.0,4.496,4.0,78.6,393.0,20.32,8.0,10.0,8.0,4.496,4.496,2.4000000000000004,6.0,3823.0,1.43872,6.0
Fe1 Sn1 O3,-1.858812262,15.9994,3.44,2.822,0.7415999999999999,14.11,2.0,9.105,66.0,1.61,14.0,0.8,87.0,54.8,8.0,66.0,1.44,54.8,12.0,14.0,6.0,87.0,3.84,93.8,2.8,15.9994,12.0,9.105,16.0,8.0,406.0,2.0,2480.48,4.0,496.09600000000006,2.0,81.2,3.2,217.0,469.0,70.0,4.0,83.04,16.0,16.0,0.0,4.0,79.19999999999999,396.0,33.36,14.0,10.0,8.0,0.0,0.0,2.4000000000000004,10.0,1811.0,0.0,10.0
Gd3 Al1 C1,-0.340943325,157.25,2.55,1.552,0.4224,7.76,6.0,32.05,196.0,1.35,7.200000000000001,2.16,27.0,1586.0,64.0,76.0,0.72,933.47,194.0,3.0,10.0,77.0,0.48,157.0,0.6000000000000001,12.0107,194.0,5.64,3.0,6.0,1001.0,0.0,9514.47,0.0,1902.894,16.0,200.2,0.6,31.0,785.0,36.0,2.0,9.919999999999996,14.0,3.0,4.496,2.0,46.2,231.0,46.8,10.0,9.0,11.0,4.496,4.496,5.040000000000001,1.0,3823.0,1.43872,1.0
Gd3 In1 N1,-1.092494318,157.25,3.04,1.6840000000000002,0.5808000000000001,8.42,6.0,32.05,196.0,1.84,7.4,1.92,27.0,1586.0,64.0,71.0,0.96,63.05,194.0,4.0,10.0,82.0,2.9600000000000004,160.2,0.8,14.0067,139.0,14.76875,3.0,7.0,915.0,0.0,5250.8,0.0,1050.16,16.0,183.0,2.6,55.0,801.0,37.0,3.0,17.6,15.0,13.0,6.437,3.0,47.6,238.0,42.96000000000001,13.0,8.0,12.0,6.437,6.437,5.279999999999999,10.0,1586.0,2.0598400000000003,10.0
Gd3 Sn1 C1,-0.60749527,157.25,2.55,1.622,0.5064000000000001,8.11,6.0,32.05,196.0,1.35,7.4,1.92,27.0,1586.0,64.0,76.0,0.96,505.08,194.0,4.0,10.0,80.0,2.9600000000000004,160.6,0.8,12.0107,141.0,5.64,3.0,6.0,917.0,0.0,9086.08,0.0,1817.216,16.0,183.4,2.6,53.0,803.0,37.0,2.0,16.959999999999997,14.0,13.0,4.496,2.0,47.6,238.0,42.48,14.0,8.0,11.0,4.496,4.496,5.28,10.0,3823.0,1.43872,10.0
Gd3 Tl1 C1,-0.41617198,157.25,2.55,1.554,0.4248,7.77,6.0,32.05,196.0,1.35,7.200000000000001,2.16,27.0,1586.0,64.0,76.0,0.72,577.0,194.0,3.0,10.0,77.0,2.9600000000000004,161.79999999999998,0.6000000000000001,12.0107,194.0,5.64,3.0,6.0,970.0,0.0,9158.0,0.0,1831.6,16.0,194.0,2.6,0.0,809.0,36.0,2.0,0.0,14.0,13.0,4.496,2.0,46.8,234.0,41.040000000000006,27.0,9.0,11.0,4.496,4.496,5.040000000000001,10.0,3823.0,1.43872,10.0
Gd1 Al3 Cu1,-0.48077338,26.9815386,1.9,1.586,0.1544000000000001,7.93,3.0,16.48,121.0,0.7,10.6,2.4000000000000004,73.0,933.47,13.0,121.0,0.48,933.47,225.0,3.0,3.0,73.0,3.12,138.2,0.6,26.9815386,194.0,11.07,13.0,13.0,1094.0,5.0,5744.18,1.0,1148.836,5.0,218.8,2.2,31.0,691.0,53.0,1.0,9.919999999999996,13.0,11.0,0.0,1.0,62.0,310.0,23.119999999999997,11.0,15.0,10.0,0.0,0.0,3.039999999999999,10.0,1586.0,0.0,10.0
Gd1 B1 O3,-3.499030348,15.9994,3.44,2.712,0.8735999999999999,13.56,2.0,9.105,66.0,2.24,12.8,1.12,87.0,54.8,8.0,66.0,1.6800000000000002,54.8,12.0,13.0,6.0,87.0,0.32,95.6,2.6,10.811,12.0,7.1725,16.0,5.0,396.0,2.0,4098.4,4.0,819.6800000000001,2.0,79.2,0.2,182.0,478.0,64.0,4.0,80.64,16.0,1.0,1.524,4.0,72.0,360.0,40.16,10.0,11.0,13.0,1.524,1.524,3.92,1.0,2348.0,0.48768,1.0
Gd1 B1 Rh3,-0.794227558,102.9055,2.28,2.016,0.3263999999999999,10.08,5.0,13.64,142.0,1.0799999999999998,8.6,1.6,59.0,2237.0,45.0,84.0,0.32,1586.0,225.0,1.0,9.0,72.0,3.6,141.2,0.2,10.811,166.0,7.1725,9.0,5.0,1035.0,0.0,10645.0,0.0,2129.0,3.0,207.0,5.0,59.0,706.0,43.0,1.0,21.6,13.0,25.0,1.524,1.0,55.2,276.0,22.88000000000001,10.0,5.0,10.0,1.524,1.524,2.24,8.0,2348.0,0.48768,8.0
Gd1 Co1 Si3,-0.636001576,28.0855,1.9,1.7559999999999998,0.2224,8.78,3.0,20.44,111.0,0.7,10.8,1.92,78.0,1687.0,14.0,111.0,0.96,1586.0,227.0,6.0,4.0,78.0,2.16,131.0,1.2,28.0855,194.0,10.245,14.0,14.0,1069.0,4.0,8415.0,2.0,1683.0,4.0,213.8,1.6,33.0,655.0,54.0,2.0,15.839999999999998,14.0,8.0,2.319,2.0,63.8,319.0,26.0,10.0,12.0,11.0,0.773,0.773,3.84,7.0,1768.0,0.37104,7.0
Gd1 Cr1 O3,-3.173304159,15.9994,3.44,2.636,0.9648,13.18,2.0,9.105,66.0,2.24,11.4,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,1.52,106.6,2.4,15.9994,12.0,9.105,16.0,8.0,459.0,2.0,3930.4,4.0,786.08,2.0,91.8,1.2,217.0,533.0,57.0,4.0,95.76,16.0,6.0,0.0,4.0,67.39999999999999,337.0,48.72,10.0,6.0,13.0,0.0,0.0,5.52,5.0,2180.0,0.0,5.0
Gd1 Ga3 Os1,-0.484677201,69.723,2.2,1.766,0.2264000000000001,8.83,4.0,18.8575,122.0,1.0000000000000002,10.0,2.4000000000000004,74.0,302.91,31.0,122.0,0.48,302.91,64.0,3.0,13.0,74.0,3.12,141.20000000000002,0.6,69.723,64.0,14.09,13.0,31.0,580.0,5.0,5800.73,1.0,1160.1460000000002,5.0,116.0,7.4,130.0,706.0,50.0,1.0,62.4,13.0,37.0,0.0,1.0,61.2,306.0,23.040000000000003,22.0,15.0,10.0,0.0,0.0,3.6,10.0,3306.0,0.0,9.0
Gd1 Ga3 Ru1,-0.582121322,69.723,2.2,1.766,0.2264000000000001,8.83,4.0,18.8575,122.0,1.0000000000000002,10.0,2.4000000000000004,74.0,302.91,31.0,122.0,0.48,302.91,64.0,3.0,13.0,74.0,2.88,141.60000000000002,0.6,69.723,64.0,13.51,13.0,31.0,580.0,5.0,5101.73,1.0,1020.346,5.0,116.0,7.6,130.0,708.0,50.0,1.0,62.4,13.0,38.0,0.0,1.0,61.0,305.0,23.520000000000003,13.0,15.0,10.0,0.0,0.0,3.6,10.0,2607.0,0.0,9.0
Gd1 In1 O3,-2.948039821,15.9994,3.44,2.66,0.936,13.3,2.0,9.105,66.0,2.24,12.8,1.12,87.0,54.8,8.0,66.0,1.6800000000000002,54.8,12.0,13.0,6.0,87.0,3.12,107.20000000000002,2.6,15.9994,12.0,9.105,16.0,8.0,369.0,2.0,2180.15,4.0,436.03,2.0,73.80000000000001,2.2,182.0,536.0,64.0,4.0,74.16,16.0,11.0,0.0,4.0,72.6,363.0,49.440000000000005,13.0,11.0,13.0,0.0,0.0,3.92,10.0,1586.0,0.0,10.0
Gd1 Mn1 O3,-2.981953118,15.9994,3.44,2.614,0.9912,13.07,2.0,9.105,66.0,2.24,11.6,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,1.52,106.6,2.4,15.9994,12.0,9.105,16.0,8.0,447.0,2.0,3269.4,4.0,653.88,2.0,89.40000000000002,1.2,205.0,533.0,58.0,4.0,92.88,16.0,6.0,0.0,4.0,68.0,340.0,48.72,10.0,6.0,13.0,0.0,0.0,5.279999999999999,5.0,1586.0,0.0,5.0
Gd1 Ni1 Ge3,-0.584412268,72.64,2.01,1.828,0.2512,9.14,4.0,23.005,120.0,0.8099999999999998,11.0,1.92,79.0,1211.4,32.0,120.0,0.96,1211.4,225.0,6.0,14.0,79.0,2.72,136.0,1.2,58.6934,194.0,10.32,14.0,28.0,1094.0,4.0,6948.200000000001,2.0,1389.64,4.0,218.8,7.8,31.0,680.0,55.0,2.0,9.919999999999993,14.0,39.0,1.149,2.0,65.0,325.0,24.0,14.0,12.0,11.0,0.383,0.383,3.6,10.0,1728.0,0.18384,9.0
Gd1 Ni1 O3,-2.449596328,15.9994,3.44,2.686,0.9048,13.43,2.0,9.105,66.0,2.24,12.2,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,2.4800000000000004,103.6,2.4,15.9994,12.0,9.105,16.0,8.0,455.0,2.0,3478.4,4.0,695.6800000000001,2.0,91.0,1.8,213.0,518.0,61.0,4.0,94.8,16.0,9.0,0.0,4.0,69.8,349.0,45.12,10.0,6.0,13.0,0.0,0.0,4.5600000000000005,8.0,1728.0,0.0,8.0
Gd1 Rh3 C1,-0.461147228,102.9055,2.55,2.118,0.3671999999999999,10.59,5.0,13.64,142.0,1.35,8.8,1.2800000000000002,59.0,2237.0,45.0,76.0,0.6400000000000001,1586.0,225.0,2.0,9.0,77.0,3.6,139.6,0.4,12.0107,194.0,5.64,9.0,6.0,1063.0,0.0,12120.0,0.0,2424.0,3.0,212.6,5.0,31.0,698.0,44.0,2.0,14.879999999999995,14.0,25.0,4.496,2.0,56.2,281.0,25.440000000000005,10.0,4.0,11.0,4.496,4.496,2.3199999999999994,8.0,3823.0,1.43872,8.0
Gd1 Sc1 S3,-2.262208398,32.065,2.58,2.06,0.6240000000000001,10.3,3.0,25.786875,105.0,1.38,10.8,0.96,88.0,388.36,16.0,105.0,1.92,388.36,70.0,12.0,6.0,88.0,0.48,136.2,2.4,32.065,70.0,22.235,16.0,16.0,598.0,2.0,4565.08,4.0,913.016,2.0,119.6,0.4,124.0,681.0,54.0,4.0,59.52,16.0,2.0,6.606,4.0,60.4,302.0,37.44,10.0,6.0,13.0,2.202,2.202,6.24,1.0,1814.0,1.05696,1.0
Gd1 Si3 Ir1,-0.812805428,28.0855,2.2,1.82,0.2480000000000001,9.1,3.0,20.44,111.0,1.0000000000000002,10.8,1.92,78.0,1687.0,14.0,111.0,0.96,1586.0,227.0,6.0,4.0,78.0,2.16,134.0,1.2,28.0855,194.0,14.21,14.0,14.0,1100.0,4.0,9386.0,2.0,1877.2000000000005,4.0,220.0,1.6,33.0,670.0,54.0,2.0,10.4,14.0,8.0,2.319,2.0,64.19999999999999,321.0,27.6,23.0,12.0,11.0,0.773,0.773,3.84,7.0,2739.0,0.37104,7.0
Gd1 V1 O3,-3.252683904,15.9994,3.44,2.63,0.972,13.15,2.0,9.105,66.0,2.24,11.2,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.96,109.4,2.4,15.9994,12.0,9.105,16.0,8.0,459.0,2.0,3933.4,4.0,786.6800000000001,2.0,91.8,0.8,217.0,547.0,56.0,4.0,95.76,16.0,4.0,0.0,4.0,66.8,334.0,52.08,10.0,6.0,13.0,0.0,0.0,5.76,3.0,2183.0,0.0,3.0
Ge1 H3 Cl1,-0.404550759,1.00794,3.16,2.354,0.3224,11.77,1.0,6.615,31.0,1.1500000000000004,6.800000000000001,1.2000000000000002,92.0,14.01,1.0,31.0,1.6800000000000002,14.01,194.0,7.0,1.0,94.0,3.2,63.0,1.4,1.00794,64.0,6.615,1.0,1.0,871.0,0.0,1425.03,0.0,285.00600000000003,1.0,174.2,2.0,161.0,315.0,34.0,5.0,44.08000000000001,17.0,10.0,26.434999999999995,5.0,89.8,449.0,38.400000000000006,14.0,5.0,16.0,7.853,7.47,6.96,10.0,1211.4,3.0792,10.0
Ge1 Pb1 O3,-1.929228153,15.9994,3.44,2.932,0.6096,14.66,2.0,9.105,66.0,1.4300000000000002,15.2,0.96,87.0,54.8,8.0,66.0,0.96,54.8,12.0,16.0,6.0,87.0,4.800000000000001,92.8,3.2,15.9994,12.0,9.105,16.0,8.0,486.0,2.0,1976.4100000000003,4.0,395.282,2.0,97.2,4.0,213.0,464.0,76.0,4.0,102.24,16.0,20.0,0.383,2.0,84.19999999999999,421.0,32.160000000000004,28.0,14.0,2.0,0.383,0.383,0.9600000000000002,10.0,1211.4,0.12256,10.0
Ge1 Pb1 S3,-0.73199338,32.065,2.58,2.416,0.1968,12.08,3.0,25.786875,105.0,0.5700000000000003,15.2,0.96,88.0,388.36,16.0,105.0,0.96,388.36,70.0,16.0,6.0,88.0,4.800000000000001,116.2,3.2,32.065,70.0,23.005,16.0,16.0,660.0,2.0,2977.09,4.0,595.418,2.0,132.0,4.0,155.0,581.0,76.0,4.0,74.4,16.0,20.0,6.989,2.0,84.8,424.0,13.44,28.0,14.0,2.0,2.202,2.202,0.9600000000000002,10.0,1211.4,0.96504,10.0
Ge1 Pd1 S3,-0.650651115,32.065,2.58,2.39,0.228,11.95,3.0,25.786875,105.0,0.5700000000000003,14.4,0.8,88.0,388.36,16.0,105.0,1.44,388.36,70.0,14.0,6.0,88.0,4.800000000000001,114.8,2.8,32.065,70.0,14.41,16.0,16.0,660.0,2.0,4204.53,4.0,840.9060000000001,2.0,132.0,4.0,155.0,574.0,72.0,4.0,74.4,16.0,20.0,6.989,4.0,81.0,405.0,11.76,14.0,10.0,6.0,2.202,2.202,1.92,10.0,1828.05,0.96504,10.0
H3 Br1 O1,-1.029843963,1.00794,3.44,2.6,0.4799999999999999,13.0,1.0,6.615,31.0,1.2399999999999998,7.2,0.72,92.0,14.01,1.0,31.0,2.16,14.01,194.0,9.0,1.0,95.0,3.2,55.8,1.8,1.00794,12.0,6.615,1.0,1.0,658.0,0.0,362.63000000000005,0.0,72.52600000000001,1.0,131.6,2.0,182.0,279.0,36.0,5.0,74.88000000000001,17.0,10.0,25.016,5.0,91.6,458.0,29.76,17.0,3.0,16.0,7.853,7.853,7.439999999999999,10.0,265.8,3.41976,10.0
H3 Cl1 O1,-1.147543488,1.00794,3.44,2.64,0.528,13.2,1.0,6.615,31.0,1.2399999999999998,7.2,0.72,92.0,14.01,1.0,31.0,2.16,14.01,194.0,9.0,1.0,94.0,0.0,52.2,1.8,1.00794,12.0,6.615,1.0,1.0,658.0,0.0,268.43,0.0,53.686,1.0,131.6,0.0,182.0,261.0,36.0,5.0,74.88000000000001,17.0,0.0,26.052,5.0,91.4,457.0,25.44,7.0,3.0,16.0,7.853,7.853,7.439999999999999,0.0,171.6,3.17112,0.0
H3 O1 F1,-1.53684478,1.00794,3.98,2.8040000000000003,0.7248,14.02,1.0,6.615,31.0,1.7799999999999998,7.200000000000001,0.72,92.0,14.01,1.0,31.0,2.16,14.01,194.0,9.0,1.0,93.0,0.0,43.2,1.8,1.00794,12.0,6.615,1.0,1.0,609.0,0.0,150.32999999999998,0.0,30.066000000000003,1.0,121.8,0.0,182.0,216.0,36.0,5.0,86.64,17.0,0.0,25.529,5.0,91.2,456.0,14.64,7.0,3.0,16.0,7.853,7.853,7.44,0.0,54.8,3.29664,0.0
H1 N1 O3,-0.890312362,15.9994,3.44,3.112,0.3935999999999999,15.56,2.0,9.105,66.0,1.2399999999999998,12.8,0.7200000000000001,87.0,54.8,8.0,31.0,1.2000000000000002,14.01,12.0,15.0,6.0,92.0,0.0,60.0,3.0,1.00794,12.0,6.615,16.0,1.0,424.0,2.0,241.46,4.0,48.292,2.0,84.80000000000001,0.0,182.0,300.0,64.0,4.0,87.36000000000001,16.0,0.0,14.29,4.0,87.0,435.0,11.6,6.0,9.0,15.0,7.853,7.853,4.72,0.0,63.05,3.4296,0.0
Hf3 Al1 N1,-1.088516715,178.49,3.04,1.7100000000000002,0.532,8.55,6.0,22.2,175.0,1.74,8.0,1.92,45.0,2506.0,72.0,71.0,0.96,63.05,194.0,4.0,18.0,82.0,0.96,143.39999999999998,0.8,14.0067,194.0,14.76875,4.0,7.0,1001.0,0.0,8514.519999999999,0.0,1702.9039999999998,8.0,200.2,1.2,31.0,717.0,40.0,3.0,9.919999999999996,15.0,6.0,6.437,3.0,58.0,290.0,37.92,18.0,8.0,11.0,6.437,6.437,4.8,2.0,2506.0,2.0598400000000003,2.0
Hf3 Zn1 N1,-1.017868711,178.49,3.04,1.7180000000000002,0.5288000000000002,8.59,6.0,22.2,175.0,1.74,7.800000000000001,0.96,45.0,2506.0,72.0,71.0,0.96,63.05,194.0,3.0,18.0,82.0,2.72,143.6,0.6000000000000001,14.0067,194.0,13.96,4.0,7.0,970.0,0.0,8273.73,0.0,1654.746,8.0,194.0,3.2,0.0,718.0,39.0,3.0,0.0,15.0,16.0,6.437,3.0,57.2,286.0,37.68000000000001,18.0,3.0,11.0,6.437,6.437,4.5600000000000005,10.0,2506.0,2.0598400000000003,10.0
Hf1 B1 Rh3,-0.824459452,102.9055,2.28,2.036,0.2943999999999999,10.18,5.0,13.64,142.0,0.9799999999999998,8.8,1.6,59.0,2237.0,45.0,84.0,0.32,2237.0,225.0,1.0,9.0,72.0,3.3600000000000003,137.0,0.2,10.811,166.0,7.1725,9.0,5.0,1035.0,0.0,11565.0,0.0,2313.0,3.0,207.0,5.2,59.0,685.0,44.0,1.0,21.6,13.0,26.0,1.524,1.0,58.8,294.0,21.200000000000003,18.0,5.0,9.0,1.524,1.524,1.92,8.0,2506.0,0.48768,8.0
Hf1 Sn1 S3,-1.28652317,32.065,2.58,2.2,0.456,11.0,3.0,25.786875,105.0,1.28,13.2,0.8,88.0,388.36,16.0,105.0,1.44,388.36,70.0,14.0,6.0,88.0,3.04,125.8,2.8,32.065,70.0,22.2,16.0,16.0,545.0,2.0,4176.16,4.0,835.232,2.0,109.0,2.4,124.0,629.0,66.0,4.0,46.8,16.0,12.0,6.606,4.0,77.8,389.0,24.96,18.0,10.0,12.0,2.202,2.202,3.6800000000000006,10.0,2506.0,1.05696,10.0
Hg1 As1 O3,-1.36217976,15.9994,3.44,2.9000000000000004,0.6479999999999999,14.5,2.0,9.105,66.0,1.44,15.0,0.7200000000000001,87.0,54.8,8.0,66.0,1.2000000000000002,54.8,12.0,15.0,6.0,87.0,4.800000000000001,89.80000000000001,3.0,15.9994,12.0,9.105,16.0,8.0,368.0,2.0,1488.7199999999998,4.0,297.744,2.0,73.60000000000001,4.0,154.0,449.0,75.0,4.0,73.92,16.0,20.0,0.0,4.0,83.19999999999999,416.0,28.56,26.0,9.0,4.0,0.0,0.0,1.2000000000000002,10.0,1090.0,0.0,10.0
Hg1 Br1 O3,-0.395069115,15.9994,3.44,3.056,0.4608,15.28,2.0,9.105,66.0,1.44,15.4,0.72,87.0,54.8,8.0,66.0,1.36,54.8,12.0,17.0,6.0,95.0,4.800000000000001,90.0,3.4,15.9994,12.0,9.105,16.0,8.0,266.0,2.0,664.52,4.0,132.904,2.0,53.2,4.0,154.0,450.0,77.0,5.0,49.440000000000005,17.0,20.0,1.457,5.0,85.4,427.0,28.8,26.0,7.0,5.0,1.457,1.457,1.36,10.0,265.8,0.46624,10.0
Hg1 N1 O3,-0.747609346,15.9994,3.44,3.072,0.4416,15.36,2.0,9.105,66.0,1.44,15.0,0.7200000000000001,87.0,54.8,8.0,66.0,1.2000000000000002,54.8,12.0,15.0,6.0,87.0,3.2,80.2,3.0,14.0067,12.0,9.105,16.0,7.0,396.0,2.0,461.77,4.0,92.354,2.0,79.2,2.0,182.0,401.0,75.0,4.0,80.64,16.0,10.0,6.437,4.0,82.8,414.0,20.72,26.0,9.0,4.0,6.437,6.437,1.2000000000000002,10.0,234.32,2.0598400000000003,10.0
Hg1 P1 S3,-0.484708718,32.065,2.58,2.386,0.2328,11.93,3.0,25.786875,105.0,0.5800000000000001,15.0,0.7200000000000001,88.0,388.36,16.0,105.0,1.2000000000000002,234.32,70.0,15.0,6.0,88.0,3.2,110.8,3.0,30.973762,2.0,22.5702380952,16.0,15.0,378.0,2.0,1716.6999999999998,4.0,343.34000000000003,2.0,75.6,2.0,164.0,554.0,75.0,4.0,36.16,16.0,10.0,8.231,4.0,83.6,418.0,8.480000000000008,26.0,9.0,4.0,2.202,2.202,1.2000000000000002,10.0,388.36,0.66696,10.0
Hg1 P1 Se3,-0.181591272,78.96,2.55,2.368,0.2183999999999999,11.84,4.0,25.92,120.0,0.5499999999999998,15.0,0.7200000000000001,89.0,494.0,34.0,107.0,1.2000000000000002,234.32,14.0,15.0,16.0,89.0,3.2,119.8,3.0,30.973762,2.0,22.5702380952,16.0,15.0,210.0,2.0,2033.62,4.0,406.724,2.0,42.0,8.0,164.0,599.0,75.0,4.0,49.6,16.0,40.0,4.022,4.0,84.2,421.0,5.119999999999993,26.0,9.0,4.0,1.625,1.625,1.2000000000000002,10.0,494.0,0.32824,10.0
Hg1 Se1 O3,-1.048512631,15.9994,3.44,2.974,0.5591999999999999,14.87,2.0,9.105,66.0,1.44,15.2,0.6399999999999999,87.0,54.8,8.0,66.0,1.2799999999999998,54.8,12.0,16.0,6.0,89.0,4.800000000000001,90.0,3.2,15.9994,12.0,9.105,16.0,8.0,216.0,2.0,892.7199999999999,4.0,178.544,2.0,43.2,4.0,154.0,450.0,76.0,4.0,49.120000000000005,16.0,20.0,0.799,4.0,84.19999999999999,421.0,28.8,26.0,8.0,4.0,0.799,0.799,1.2800000000000005,10.0,494.0,0.25568,10.0
Ho3 Al1 C1,-0.400977008,164.93032,2.55,1.57,0.408,7.85,6.0,30.7333333333,192.0,1.3199999999999998,7.200000000000001,2.16,33.0,1747.0,67.0,76.0,0.72,933.47,194.0,3.0,13.0,77.0,0.0,154.59999999999997,0.6000000000000001,12.0107,194.0,5.64,3.0,6.0,1001.0,0.0,9997.47,0.0,1999.494,3.0,200.2,0.0,31.0,773.0,36.0,2.0,9.919999999999996,14.0,0.0,4.496,2.0,49.8,249.0,44.88,13.0,9.0,11.0,4.496,4.496,5.040000000000001,0.0,3823.0,1.43872,0.0
Ho3 Al1 N1,-1.098518033,164.93032,3.04,1.668,0.5488000000000001,8.34,6.0,30.7333333333,192.0,1.81,7.4,1.92,33.0,1747.0,67.0,71.0,0.96,63.05,194.0,4.0,13.0,82.0,0.0,153.59999999999997,0.8,14.0067,194.0,14.76875,3.0,7.0,1001.0,0.0,6237.52,0.0,1247.504,3.0,200.2,0.0,31.0,768.0,37.0,3.0,9.919999999999996,15.0,0.0,6.437,3.0,50.80000000000001,254.0,46.080000000000005,13.0,8.0,12.0,6.437,6.437,5.279999999999999,0.0,1747.0,2.0598400000000003,0.0
Ho3 In1 N1,-1.067085231,164.93032,3.04,1.7020000000000002,0.5664,8.51,6.0,30.7333333333,192.0,1.81,7.4,1.92,33.0,1747.0,67.0,71.0,0.96,63.05,194.0,4.0,13.0,82.0,3.2,157.79999999999998,0.8,14.0067,139.0,14.76875,3.0,7.0,915.0,0.0,5733.8,0.0,1146.76,3.0,183.0,2.0,55.0,789.0,37.0,3.0,17.6,15.0,10.0,6.437,3.0,51.2,256.0,41.040000000000006,13.0,8.0,12.0,6.437,6.437,5.279999999999999,10.0,1747.0,2.0598400000000003,10.0
Ho3 Pb1 C1,-0.540162176,164.93032,2.55,1.714,0.5808,8.57,6.0,30.7333333333,192.0,1.3199999999999998,7.4,1.92,33.0,1747.0,67.0,76.0,0.96,600.61,194.0,4.0,13.0,81.0,3.2,159.59999999999997,0.8,12.0107,194.0,5.64,3.0,6.0,1001.0,0.0,9664.61,0.0,1932.922,3.0,200.2,2.0,31.0,798.0,37.0,2.0,9.919999999999996,14.0,10.0,4.496,2.0,51.4,257.0,38.88000000000001,28.0,8.0,11.0,4.496,4.496,5.28,10.0,3823.0,1.43872,10.0
Ho1 Al3 Cu1,-0.423917137,26.9815386,1.9,1.592,0.1447999999999999,7.960000000000001,3.0,16.48,121.0,0.6699999999999999,10.6,2.4000000000000004,73.0,933.47,13.0,121.0,0.48,933.47,225.0,3.0,3.0,73.0,3.2,137.4,0.6,26.9815386,194.0,11.07,13.0,13.0,1094.0,5.0,5905.18,1.0,1181.036,5.0,218.8,2.0,31.0,687.0,53.0,1.0,9.919999999999996,13.0,10.0,0.0,1.0,63.2,316.0,21.840000000000007,13.0,15.0,10.0,0.0,0.0,3.039999999999999,10.0,1747.0,0.0,10.0
Ho1 B3 Mo1,-0.625257528,10.811,2.16,1.902,0.2688,9.51,2.0,7.1725,84.0,0.9300000000000002,9.6,2.4000000000000004,72.0,2348.0,5.0,84.0,0.48,1747.0,166.0,3.0,3.0,72.0,1.6,119.6,0.6,10.811,166.0,7.1725,13.0,5.0,921.0,5.0,11687.0,1.0,2337.4,5.0,184.2,1.0,63.0,598.0,48.0,1.0,21.840000000000003,13.0,5.0,4.572,1.0,59.8,299.0,42.72,13.0,15.0,10.0,1.524,1.524,4.08,5.0,2896.0,0.7315200000000001,5.0
Ho1 B1 O3,-3.557053923,15.9994,3.44,2.718,0.8664000000000001,13.59,2.0,9.105,66.0,2.21,12.8,1.12,87.0,54.8,8.0,66.0,1.6800000000000002,54.8,12.0,13.0,6.0,87.0,0.0,94.8,2.6,10.811,12.0,7.1725,16.0,5.0,396.0,2.0,4259.4,4.0,851.88,2.0,79.2,0.0,182.0,474.0,64.0,4.0,80.64,16.0,0.0,1.524,4.0,73.19999999999999,366.0,38.88000000000001,13.0,11.0,13.0,1.524,1.524,3.92,0.0,2348.0,0.48768,0.0
Ho1 B1 Rh3,-0.802135197,102.9055,2.28,2.022,0.3168,10.11,5.0,13.64,142.0,1.0499999999999998,8.6,1.6,59.0,2237.0,45.0,84.0,0.32,1747.0,225.0,1.0,9.0,72.0,3.84,140.4,0.2,10.811,166.0,7.1725,9.0,5.0,1035.0,0.0,10806.0,0.0,2161.2,3.0,207.0,4.8,59.0,702.0,43.0,1.0,21.6,13.0,24.0,1.524,1.0,56.4,282.0,22.56,13.0,5.0,10.0,1.524,1.524,2.24,8.0,2348.0,0.48768,8.0
