composition,formation_energy (eV/atom),mode_AtomicWeight,max_Electronegativity,avg_Electronegativity,dev_Electronegativity,sum_Electronegativity,mode_Row,mode_GSvolume_pa,mode_CovalentRadius,range_Electronegativity,avg_Column,dev_NpUnfilled,mode_MendeleevNumber,mode_MeltingT,mode_Number,min_CovalentRadius,dev_NpValence,min_MeltingT,mode_SpaceGroupNumber,sum_NpValence,mode_NValence,max_MendeleevNumber,dev_NdValence,avg_CovalentRadius,avg_NpValence,min_AtomicWeight,min_SpaceGroupNumber,min_GSvolume_pa,mode_Column,min_Number,sum_SpaceGroupNumber,mode_NpUnfilled,sum_MeltingT,mode_NpValence,avg_MeltingT,mode_NUnfilled,avg_SpaceGroupNumber,avg_NdValence,range_SpaceGroupNumber,sum_CovalentRadius,sum_Column,max_NpValence,dev_SpaceGroupNumber,max_Column,sum_NdValence,sum_GSbandgap,range_NpValence,avg_MendeleevNumber,sum_MendeleevNumber,dev_CovalentRadius,max_NValence,sum_NpUnfilled,range_Column,max_GSbandgap,range_GSbandgap,dev_Column,max_NdValence,max_MeltingT,dev_GSbandgap,range_NdValence
Ba1 Mn1 O3,-2.489944874,15.9994,3.44,2.552,1.0656,12.76,2.0,9.105,66.0,2.55,11.4,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,1.6,110.4,2.4,15.9994,12.0,9.105,16.0,8.0,482.0,2.0,2683.4,4.0,536.6800000000001,2.0,96.40000000000002,1.0,217.0,552.0,57.0,4.0,101.28,16.0,5.0,0.0,4.0,64.39999999999999,322.0,53.28,7.0,6.0,14.0,0.0,0.0,5.52,5.0,1519.0,0.0,5.0
Ba1 Mo1 O3,-2.516796095,15.9994,3.44,2.6740000000000004,0.9191999999999998,13.37,2.0,9.105,66.0,2.55,11.2,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,1.6,113.4,2.4,15.9994,12.0,9.105,16.0,8.0,494.0,2.0,4060.4,4.0,812.08,2.0,98.8,1.0,217.0,567.0,56.0,4.0,104.16,16.0,5.0,0.0,4.0,64.0,320.0,56.88,6.0,6.0,14.0,0.0,0.0,5.76,5.0,2896.0,0.0,5.0
Ba1 Nb1 O3,-3.178754561,15.9994,3.44,2.5620000000000003,1.0536,12.81,2.0,9.105,66.0,2.55,11.0,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,1.2800000000000002,115.4,2.4,15.9994,12.0,9.105,16.0,8.0,494.0,2.0,3914.4,4.0,782.88,2.0,98.8,0.8,217.0,577.0,55.0,4.0,104.16,16.0,4.0,0.0,4.0,63.4,317.0,59.28,6.0,6.0,14.0,0.0,0.0,6.0,4.0,2750.0,0.0,4.0
Ba1 Ni1 O3,-1.820022473,15.9994,3.44,2.624,0.9791999999999998,13.12,2.0,9.105,66.0,2.55,12.0,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,2.5600000000000005,107.4,2.4,15.9994,12.0,9.105,16.0,8.0,490.0,2.0,2892.4,4.0,578.48,2.0,98.0,1.6,217.0,537.0,60.0,4.0,103.20000000000002,16.0,8.0,0.0,4.0,66.2,331.0,49.68000000000001,10.0,6.0,14.0,0.0,0.0,4.8,8.0,1728.0,0.0,8.0
Ba1 Ni1 Sn3,-0.475329613,118.71,1.96,1.736,0.3384,8.68,5.0,33.285,139.0,1.0699999999999998,10.8,1.92,80.0,505.08,50.0,124.0,0.96,505.08,141.0,6.0,14.0,80.0,3.04,151.2,1.2,58.6934,141.0,10.32,14.0,28.0,877.0,4.0,4243.24,2.0,848.648,4.0,175.4,7.6,88.0,756.0,54.0,2.0,41.28,14.0,38.0,0.0,2.0,62.0,310.0,25.52,14.0,12.0,12.0,0.0,0.0,3.84,10.0,1728.0,0.0,10.0
Ba1 Np1 O3,-3.376933663,15.9994,3.44,2.514,1.1111999999999995,12.57,2.0,9.105,66.0,2.55,10.6,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.32,120.6,2.4,15.9994,12.0,9.105,16.0,8.0,327.0,2.0,2081.4,4.0,416.28,2.0,65.4,0.2,217.0,603.0,53.0,4.0,65.44,16.0,1.0,0.0,4.0,58.4,292.0,65.52000000000001,7.0,6.0,14.0,0.0,0.0,6.48,1.0,1000.0,0.0,1.0
Ba1 P1 S3,-1.473486131,32.065,2.58,2.164,0.5095999999999999,10.82,3.0,25.786875,105.0,1.69,13.0,0.7200000000000001,88.0,388.36,16.0,105.0,1.2000000000000002,317.3,70.0,15.0,6.0,88.0,0.0,127.4,3.0,30.973762,2.0,22.5702380952,16.0,15.0,441.0,2.0,2482.38,4.0,496.476,2.0,88.2,0.0,227.0,637.0,65.0,4.0,56.32000000000001,16.0,0.0,8.231,4.0,71.2,356.0,35.040000000000006,6.0,9.0,14.0,2.202,2.202,4.4,0.0,1000.0,0.66696,0.0
Ba1 P1 Se3,-1.294053818,78.96,2.55,2.146,0.5024,10.73,4.0,25.92,120.0,1.6599999999999997,13.0,0.7200000000000001,89.0,494.0,34.0,107.0,1.2000000000000002,317.3,14.0,15.0,16.0,89.0,4.800000000000001,136.4,3.0,30.973762,2.0,22.5702380952,16.0,15.0,273.0,2.0,2799.3,4.0,559.86,2.0,54.6,6.0,227.0,682.0,65.0,4.0,69.76,16.0,30.0,4.022,4.0,71.8,359.0,31.440000000000005,16.0,9.0,14.0,1.625,1.625,4.4,10.0,1000.0,0.32824,10.0
Ba1 Pa1 O3,-3.563953095,15.9994,3.44,2.5420000000000003,1.0776,12.71,2.0,9.105,66.0,2.55,10.6,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.32,122.6,2.4,15.9994,12.0,9.105,16.0,8.0,404.0,2.0,3009.4,4.0,601.88,2.0,80.80000000000001,0.2,217.0,613.0,53.0,4.0,82.56,16.0,1.0,0.0,4.0,57.6,288.0,67.91999999999999,6.0,6.0,14.0,0.0,0.0,6.48,1.0,1845.0,0.0,1.0
Ba1 Pb1 O3,-2.108850153,15.9994,3.44,2.708,0.8783999999999998,13.54,2.0,9.105,66.0,2.55,12.8,0.8,87.0,54.8,8.0,66.0,1.44,54.8,12.0,14.0,6.0,87.0,3.2,111.8,2.8,15.9994,12.0,9.105,16.0,8.0,490.0,2.0,1765.0100000000002,4.0,353.002,2.0,98.0,2.0,217.0,559.0,64.0,4.0,103.20000000000002,16.0,10.0,0.0,4.0,70.19999999999999,351.0,54.96000000000001,28.0,10.0,14.0,0.0,0.0,4.319999999999999,10.0,1000.0,0.0,10.0
Ba1 Pu1 O3,-3.344061895,15.9994,3.44,2.498,1.1303999999999998,12.49,2.0,9.105,66.0,2.55,10.6,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.0,120.0,2.4,15.9994,11.0,9.105,16.0,8.0,276.0,2.0,2077.4,4.0,415.48,2.0,55.2,0.0,218.0,600.0,53.0,4.0,69.52000000000001,16.0,0.0,0.0,4.0,58.8,294.0,64.8,8.0,6.0,14.0,0.0,0.0,6.48,0.0,1000.0,0.0,0.0
Ba1 Re1 N3,-0.697790989,14.0067,3.04,2.382,0.7896000000000001,11.91,2.0,14.76875,71.0,2.15,10.8,1.44,82.0,63.05,7.0,71.0,1.44,63.05,194.0,9.0,5.0,82.0,1.6,115.8,1.7999999999999998,14.0067,194.0,14.655,15.0,7.0,1005.0,3.0,4648.15,3.0,929.63,3.0,201.0,1.0,35.0,579.0,54.0,3.0,11.2,15.0,5.0,19.311,3.0,61.8,309.0,53.760000000000005,21.0,9.0,13.0,6.437,6.437,5.04,5.0,3459.0,3.08976,5.0
Ba1 Ru1 O3,-2.190155073,15.9994,3.44,2.6820000000000004,0.9095999999999996,13.41,2.0,9.105,66.0,2.55,11.6,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,2.24,111.8,2.4,15.9994,12.0,9.105,16.0,8.0,459.0,2.0,3771.4,4.0,754.28,2.0,91.8,1.4,217.0,559.0,58.0,4.0,95.76,16.0,7.0,0.0,4.0,65.2,326.0,54.96000000000001,8.0,6.0,14.0,0.0,0.0,5.279999999999999,7.0,2607.0,0.0,7.0
Ba1 Sb1 Te3,-1.041214255,127.6,2.1,1.848,0.3832000000000001,9.24,5.0,34.7633333333,138.0,1.21,13.0,0.7200000000000001,90.0,722.66,52.0,138.0,1.2000000000000002,722.66,152.0,15.0,16.0,90.0,3.2,153.6,3.0,121.76,152.0,31.56,16.0,51.0,851.0,2.0,4071.76,4.0,814.3519999999999,2.0,170.2,8.0,77.0,768.0,65.0,4.0,23.52,16.0,40.0,1.392,4.0,72.8,364.0,24.559999999999995,16.0,9.0,14.0,0.464,0.464,4.4,10.0,1000.0,0.22272,10.0
Ba1 Se1 O3,-2.318079119,15.9994,3.44,2.752,0.8256,13.76,2.0,9.105,66.0,2.55,13.2,0.6399999999999999,87.0,54.8,8.0,66.0,1.2799999999999998,54.8,12.0,16.0,6.0,89.0,3.2,106.6,3.2,15.9994,12.0,9.105,16.0,8.0,279.0,2.0,1658.4,4.0,331.68,2.0,55.8,2.0,217.0,533.0,66.0,4.0,69.28,16.0,10.0,0.799,4.0,71.8,359.0,48.72,16.0,8.0,14.0,0.799,0.799,4.48,10.0,1000.0,0.25568,10.0
Ba1 Si3 Pd1,-0.436197744,28.0855,2.2,1.758,0.3471999999999999,8.79,3.0,20.44,111.0,1.31,10.8,1.92,78.0,1687.0,14.0,111.0,0.96,1000.0,227.0,6.0,4.0,78.0,3.2,137.4,1.2,28.0855,225.0,14.41,14.0,14.0,1135.0,4.0,7889.05,2.0,1577.81,4.0,227.0,2.0,4.0,687.0,54.0,2.0,0.8,14.0,10.0,2.319,2.0,60.99999999999999,305.0,31.680000000000003,10.0,12.0,12.0,0.773,0.773,3.84,10.0,1828.05,0.37104,10.0
Ba1 Si1 O3,-3.404013206,15.9994,3.44,2.622,0.9816,13.11,2.0,9.105,66.0,2.55,12.8,0.8,87.0,54.8,8.0,66.0,1.44,54.8,12.0,14.0,6.0,87.0,0.0,104.8,2.8,15.9994,12.0,9.105,16.0,8.0,492.0,2.0,2851.4,4.0,570.2800000000001,2.0,98.40000000000002,0.0,217.0,524.0,64.0,4.0,103.68,16.0,0.0,0.773,4.0,69.6,348.0,46.56,6.0,10.0,14.0,0.773,0.773,4.319999999999999,0.0,1687.0,0.24736,0.0
Ba1 Sn3 Au1,-0.502566115,118.71,2.54,1.862,0.3888,9.31,5.0,33.285,139.0,1.65,11.0,1.92,80.0,505.08,50.0,136.0,0.96,505.08,141.0,6.0,14.0,80.0,3.2,153.6,1.2,118.71,141.0,16.7,14.0,50.0,877.0,4.0,3852.57,2.0,770.514,4.0,175.4,8.0,88.0,768.0,55.0,2.0,41.28,14.0,40.0,0.0,2.0,63.0,315.0,24.56,25.0,12.0,12.0,0.0,0.0,3.6,10.0,1337.33,0.0,10.0
Ba1 Sn3 Pd1,-0.646894785,118.71,2.2,1.794,0.3616,8.969999999999999,5.0,33.285,139.0,1.31,10.8,1.92,80.0,505.08,50.0,139.0,0.96,505.08,141.0,6.0,14.0,80.0,3.2,154.2,1.2,106.42,141.0,14.41,14.0,46.0,877.0,4.0,4343.29,2.0,868.658,4.0,175.4,8.0,88.0,771.0,54.0,2.0,41.28,14.0,40.0,0.0,2.0,62.2,311.0,24.319999999999997,14.0,12.0,12.0,0.0,0.0,3.84,10.0,1828.05,0.0,10.0
Ba1 Sn3 Pt1,-0.681184819,118.71,2.28,1.81,0.368,9.05,5.0,33.285,139.0,1.3899999999999997,10.8,1.92,80.0,505.08,50.0,136.0,0.96,505.08,141.0,6.0,14.0,80.0,3.12,153.6,1.2,118.71,141.0,15.02,14.0,50.0,877.0,4.0,4556.639999999999,2.0,911.328,4.0,175.4,7.8,88.0,768.0,54.0,2.0,41.28,14.0,39.0,0.0,2.0,62.4,312.0,24.56,24.0,12.0,12.0,0.0,0.0,3.84,10.0,2041.4,0.0,10.0
Ba1 Sn1 O3,-2.587468272,15.9994,3.44,2.6340000000000003,0.9671999999999998,13.17,2.0,9.105,66.0,2.55,12.8,0.8,87.0,54.8,8.0,66.0,1.44,54.8,12.0,14.0,6.0,87.0,3.2,110.4,2.8,15.9994,12.0,9.105,16.0,8.0,406.0,2.0,1669.48,4.0,333.896,2.0,81.2,2.0,217.0,552.0,64.0,4.0,83.04,16.0,10.0,0.0,4.0,70.0,350.0,53.28,14.0,10.0,14.0,0.0,0.0,4.319999999999999,10.0,1000.0,0.0,10.0
Ba1 Sr1 Bi3,-0.738515049,208.9804,2.02,1.58,0.528,7.9,6.0,32.95,148.0,1.13,9.8,1.44,86.0,544.4,83.0,148.0,1.44,544.4,12.0,9.0,29.0,86.0,4.800000000000001,170.8,1.7999999999999998,87.62,12.0,32.95,15.0,38.0,490.0,3.0,3683.2,3.0,736.64,3.0,98.0,6.0,217.0,854.0,49.0,3.0,103.20000000000002,15.0,30.0,0.0,3.0,55.0,275.0,27.360000000000003,29.0,9.0,13.0,0.0,0.0,6.24,10.0,1050.0,0.0,10.0
Ba1 Ta1 S3,-1.782052072,32.065,2.58,2.026,0.6648,10.13,3.0,25.786875,105.0,1.69,11.0,0.96,88.0,388.36,16.0,105.0,1.92,388.36,70.0,12.0,6.0,88.0,0.96,140.0,2.4,32.065,70.0,18.12,16.0,16.0,668.0,2.0,5455.08,4.0,1091.016,2.0,133.60000000000002,0.6000000000000001,159.0,700.0,55.0,4.0,76.32,16.0,3.0,6.606,4.0,64.2,321.0,42.0,19.0,6.0,14.0,2.202,2.202,6.0,3.0,3290.0,1.05696,3.0
Ba1 Tc1 O3,-2.466365041,15.9994,3.44,2.622,0.9816,13.11,2.0,9.105,66.0,2.55,11.4,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,1.6,112.0,2.4,15.9994,12.0,9.105,16.0,8.0,459.0,2.0,3594.4,4.0,718.88,2.0,91.8,1.0,217.0,560.0,57.0,4.0,95.76,16.0,5.0,0.0,4.0,64.6,323.0,55.2,7.0,6.0,14.0,0.0,0.0,5.52,5.0,2430.0,0.0,5.0
Ba1 Te1 O3,-2.357057434,15.9994,3.44,2.662,0.9336,13.31,2.0,9.105,66.0,2.55,13.2,0.6399999999999999,87.0,54.8,8.0,66.0,1.2799999999999998,54.8,12.0,16.0,6.0,90.0,3.2,110.2,3.2,15.9994,12.0,9.105,16.0,8.0,417.0,2.0,1887.06,4.0,377.412,2.0,83.4,2.0,217.0,551.0,66.0,4.0,85.68,16.0,10.0,0.464,4.0,72.0,360.0,53.04,16.0,8.0,14.0,0.464,0.464,4.48,10.0,1000.0,0.14848,10.0
Ba1 Te1 S3,-1.188956507,32.065,2.58,2.146,0.5208,10.73,3.0,25.786875,105.0,1.69,13.2,0.6399999999999999,88.0,388.36,16.0,105.0,1.2799999999999998,388.36,70.0,16.0,6.0,90.0,3.2,133.6,3.2,32.065,70.0,25.786875,16.0,16.0,591.0,2.0,2887.74,4.0,577.548,2.0,118.2,2.0,159.0,668.0,66.0,4.0,57.84,16.0,10.0,7.07,4.0,72.6,363.0,34.32,16.0,8.0,14.0,2.202,2.202,4.48,10.0,1000.0,0.9456,10.0
Ba1 Th1 O3,-3.775095941,15.9994,3.44,2.502,1.1256,12.51,2.0,9.105,66.0,2.55,10.6,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.6400000000000001,123.8,2.4,15.9994,12.0,9.105,16.0,8.0,490.0,2.0,3187.4,4.0,637.48,2.0,98.0,0.4,217.0,619.0,53.0,4.0,103.20000000000002,16.0,2.0,0.0,4.0,57.2,286.0,69.36,6.0,6.0,14.0,0.0,0.0,6.48,2.0,2023.0,0.0,2.0
Ba1 Ti1 O3,-3.492277978,15.9994,3.44,2.5500000000000003,1.068,12.75,2.0,9.105,66.0,2.55,10.8,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.6400000000000001,114.6,2.4,15.9994,12.0,9.105,16.0,8.0,459.0,2.0,3105.4,4.0,621.08,2.0,91.8,0.4,217.0,573.0,54.0,4.0,95.76,16.0,2.0,0.0,4.0,62.6,313.0,58.32,6.0,6.0,14.0,0.0,0.0,6.24,2.0,1941.0,0.0,2.0
Ba1 Ti1 Se3,-1.770214763,78.96,2.55,2.016,0.6407999999999998,10.08,4.0,25.92,120.0,1.6599999999999997,10.8,0.96,89.0,494.0,34.0,120.0,1.92,494.0,14.0,12.0,16.0,89.0,4.32,147.0,2.4,47.867,14.0,16.69,16.0,22.0,465.0,2.0,4423.0,4.0,884.6,2.0,93.0,6.4,215.0,735.0,54.0,4.0,94.8,16.0,32.0,2.397,4.0,63.8,319.0,32.400000000000006,16.0,6.0,14.0,0.799,0.799,6.24,10.0,1941.0,0.38352,10.0
Ba1 U1 O3,-3.486460205,15.9994,3.44,2.518,1.1063999999999998,12.59,2.0,9.105,66.0,2.55,10.6,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.32,121.8,2.4,15.9994,12.0,9.105,16.0,8.0,328.0,2.0,2572.4,4.0,514.48,2.0,65.60000000000001,0.2,217.0,609.0,53.0,4.0,65.36000000000001,16.0,1.0,0.0,4.0,57.99999999999999,290.0,66.96000000000001,6.0,6.0,14.0,0.0,0.0,6.48,1.0,1408.0,0.0,1.0
Ba1 U1 S3,-2.021431819,32.065,2.58,2.002,0.6936,10.01,3.0,25.786875,105.0,1.69,10.6,0.96,88.0,388.36,16.0,105.0,1.92,388.36,70.0,12.0,6.0,88.0,0.32,145.2,2.4,32.065,63.0,20.025,16.0,16.0,502.0,2.0,3573.08,4.0,714.616,2.0,100.4,0.2,166.0,726.0,53.0,4.0,51.440000000000005,16.0,1.0,6.606,4.0,58.6,293.0,48.24,6.0,6.0,14.0,2.202,2.202,6.48,1.0,1408.0,1.05696,1.0
Ba1 V1 S3,-1.668957399,32.065,2.58,2.052,0.6336,10.26,3.0,25.786875,105.0,1.69,11.0,0.96,88.0,388.36,16.0,105.0,1.92,388.36,70.0,12.0,6.0,88.0,0.96,136.6,2.4,32.065,70.0,13.01,16.0,16.0,668.0,2.0,4348.08,4.0,869.616,2.0,133.60000000000002,0.6000000000000001,159.0,683.0,55.0,4.0,76.32,16.0,3.0,6.606,4.0,63.8,319.0,37.92,6.0,6.0,14.0,2.202,2.202,6.0,3.0,2183.0,1.05696,3.0
Ba1 W1 N3,-0.821954625,14.0067,3.04,2.474,0.6792000000000001,12.37,2.0,14.76875,71.0,2.15,10.6,1.44,82.0,63.05,7.0,71.0,1.44,63.05,194.0,9.0,5.0,82.0,1.2800000000000002,118.0,1.7999999999999998,14.0067,194.0,14.76875,15.0,7.0,1040.0,3.0,4884.15,3.0,976.83,3.0,208.0,0.8,35.0,590.0,53.0,3.0,16.8,15.0,4.0,19.311,3.0,61.2,306.0,56.400000000000006,20.0,9.0,13.0,6.437,6.437,5.279999999999999,4.0,3695.0,3.08976,4.0
Ba1 Zn1 In3,-0.344817086,114.818,1.78,1.576,0.2744,7.88,5.0,24.26,142.0,0.89,10.6,2.4000000000000004,75.0,429.75,49.0,122.0,0.48,429.75,139.0,3.0,13.0,75.0,3.2,152.60000000000002,0.6,65.38,139.0,13.96,13.0,30.0,840.0,5.0,2981.93,1.0,596.386,5.0,168.0,8.0,90.0,763.0,53.0,1.0,34.8,13.0,40.0,0.0,1.0,60.6,303.0,24.96000000000001,13.0,15.0,11.0,0.0,0.0,3.4400000000000004,10.0,1000.0,0.0,10.0
Ba1 Zr1 O3,-3.639240691,15.9994,3.44,2.508,1.1183999999999998,12.54,2.0,9.105,66.0,2.55,10.8,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.6400000000000001,117.6,2.4,15.9994,12.0,9.105,16.0,8.0,459.0,2.0,3292.4,4.0,658.48,2.0,91.8,0.4,217.0,588.0,54.0,4.0,95.76,16.0,2.0,0.0,4.0,62.8,314.0,61.92,6.0,6.0,14.0,0.0,0.0,6.24,2.0,2128.0,0.0,2.0
Ba1 Zr1 S3,-2.107120602,32.065,2.58,1.992,0.7056,9.96,3.0,25.786875,105.0,1.69,10.8,0.96,88.0,388.36,16.0,105.0,1.92,388.36,70.0,12.0,6.0,88.0,0.6400000000000001,141.0,2.4,32.065,70.0,23.195,16.0,16.0,633.0,2.0,4293.08,4.0,858.616,2.0,126.6,0.4,159.0,705.0,54.0,4.0,67.92,16.0,2.0,6.606,4.0,63.4,317.0,43.2,6.0,6.0,14.0,2.202,2.202,6.24,2.0,2128.0,1.05696,2.0
