composition,band_gap (eV),sum_MeltingT,mode_NpUnfilled,sum_NpValence,avg_Electronegativity,max_Electronegativity,mode_NUnfilled,max_NpValence,mode_NpValence,min_MeltingT,avg_NpValence,mode_Column,max_Column,mode_Electronegativity,avg_MeltingT,dev_NpValence,mode_GSvolume_pa,mode_NValence,min_GSvolume_pa,range_Column,sum_Column,mode_MendeleevNumber,max_MendeleevNumber,sum_Electronegativity,mode_MeltingT,range_SpaceGroupNumber,mode_Number,mode_AtomicWeight,dev_SpaceGroupNumber,dev_Column,sum_MendeleevNumber,avg_Column,avg_MendeleevNumber,range_MendeleevNumber,dev_NdValence,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled
Al1 Si1 Te3,1.2504,4788.450000000001,2.0,15.0,1.962,2.1,2.0,4.0,4.0,722.66,3.0,16.0,16.0,2.1,957.69,1.2000000000000002,34.7633333333,16.0,16.48,3.0,75.0,90.0,90.0,9.81,722.66,75.0,52.0,127.6,35.52,1.2000000000000002,421.0,15.0,84.2,17.0,4.800000000000001,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002
As1 Cl3 O1,2.5284,1659.6,1.0,22.0,3.02,3.44,1.0,5.0,5.0,54.8,4.4,17.0,17.0,3.16,331.92,0.72,24.4975,7.0,9.105,2.0,82.0,94.0,94.0,15.1,171.6,154.0,17.0,35.453,36.8,0.7200000000000003,453.0,16.4,90.6,10.0,3.2,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Ba3 Bi1 N1,0.6466,3607.45,0.0,6.0,1.5460000000000005,3.04,0.0,3.0,0.0,63.05,1.2000000000000002,2.0,15.0,0.89,721.49,1.44,63.59,2.0,14.76875,13.0,36.0,9.0,86.0,7.729999999999999,1000.0,217.0,56.0,137.327,66.63999999999999,6.24,195.0,7.2,39.0,77.0,3.2,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Ba3 Ge1 O1,0.153,4266.2,0.0,6.0,1.624,3.44,0.0,4.0,0.0,54.8,1.2000000000000002,2.0,16.0,0.89,853.24,1.44,63.59,2.0,9.105,14.0,36.0,9.0,87.0,8.12,1000.0,217.0,56.0,137.327,69.11999999999999,6.24,193.0,7.2,38.6,78.0,3.2,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Ba3 Na1 N1,0.0,3433.92,0.0,3.0,1.3280000000000003,3.04,0.0,3.0,0.0,63.05,0.6000000000000001,2.0,15.0,0.89,686.784,0.96,63.59,2.0,14.76875,14.0,22.0,9.0,82.0,6.640000000000001,1000.0,35.0,56.0,137.327,11.199999999999982,4.24,111.0,4.4,22.200000000000003,80.0,0.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ba3 Pb1 O1,0.0,3655.41,0.0,6.0,1.6880000000000002,3.44,0.0,4.0,0.0,54.8,1.2000000000000002,2.0,16.0,0.89,731.0820000000001,1.44,63.59,2.0,9.105,14.0,36.0,9.0,87.0,8.44,1000.0,217.0,56.0,137.327,69.11999999999999,6.24,195.0,7.2,39.0,78.0,3.2,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Ba3 Sb1 N1,0.4555,3966.83,0.0,6.0,1.552,3.04,0.0,3.0,0.0,63.05,1.2000000000000002,2.0,15.0,0.89,793.366,1.44,63.59,2.0,14.76875,13.0,36.0,9.0,85.0,7.76,1000.0,63.0,56.0,137.327,23.51999999999999,6.24,194.0,7.2,38.8,76.0,3.2,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Ba3 Si1 O1,0.4217,4741.8,0.0,6.0,1.602,3.44,0.0,4.0,0.0,54.8,1.2000000000000002,2.0,16.0,0.89,948.36,1.44,63.59,2.0,9.105,14.0,36.0,9.0,87.0,8.01,1000.0,217.0,56.0,137.327,69.28,6.24,192.0,7.2,38.400000000000006,78.0,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Ba3 Sn1 O1,0.0,3559.88,0.0,6.0,1.614,3.44,0.0,4.0,0.0,54.8,1.2000000000000002,2.0,16.0,0.89,711.976,1.44,63.59,2.0,9.105,14.0,36.0,9.0,87.0,8.07,1000.0,217.0,56.0,137.327,73.19999999999999,6.24,194.0,7.2,38.8,78.0,3.2,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Ba1 Bi1 O3,0.0,1708.8000000000002,2.0,15.0,2.646,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,341.76,1.2000000000000002,9.105,6.0,9.105,14.0,65.0,87.0,87.0,13.23,54.8,217.0,8.0,15.9994,69.44,4.4,356.0,13.0,71.19999999999999,78.0,3.2,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
