composition,band_gap (eV),sum_MeltingT,mode_NpUnfilled,sum_NpValence,avg_Electronegativity,max_Electronegativity,mode_NUnfilled,max_NpValence,mode_NpValence,min_MeltingT,avg_NpValence,mode_Column,max_Column,mode_Electronegativity,avg_MeltingT,dev_NpValence,mode_GSvolume_pa,mode_NValence,min_GSvolume_pa,range_Column,sum_Column,mode_MendeleevNumber,max_MendeleevNumber,sum_Electronegativity,mode_MeltingT,range_SpaceGroupNumber,mode_Number,mode_AtomicWeight,dev_SpaceGroupNumber,dev_Column,sum_MendeleevNumber,avg_Column,avg_MendeleevNumber,range_MendeleevNumber,dev_NdValence,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled
In1 Si1 Te3,0.4816,4284.73,2.0,15.0,1.996,2.1,2.0,4.0,4.0,429.75,3.0,16.0,16.0,2.1,856.9459999999999,1.2000000000000002,34.7633333333,16.0,20.44,3.0,75.0,90.0,90.0,9.98,722.66,88.0,52.0,127.6,25.040000000000006,1.2000000000000002,423.0,15.0,84.6,15.0,3.2,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002
In1 Sn1 Cl3,3.0433,1449.63,1.0,18.0,2.644,3.16,1.0,5.0,5.0,171.6,3.6,17.0,17.0,3.16,289.926,1.6800000000000002,24.4975,7.0,24.26,4.0,78.0,94.0,94.0,13.22,171.6,77.0,17.0,35.453,36.48,1.6800000000000002,437.0,15.6,87.4,19.0,4.800000000000001,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002,1.6800000000000002
K3 Au1 O1,0.5612,2401.7200000000003,0.0,4.0,1.6880000000000002,3.44,1.0,4.0,0.0,54.8,0.8,1.0,16.0,0.82,480.344,1.2800000000000002,73.1066666667,1.0,9.105,15.0,30.0,3.0,87.0,8.44,336.53,217.0,19.0,39.0983,69.11999999999999,6.0,162.0,6.0,32.400000000000006,84.0,3.2,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001
K3 Br1 O1,0.8913,1330.1899999999998,0.0,9.0,1.7719999999999998,3.44,1.0,5.0,0.0,54.8,1.8,1.0,17.0,0.82,266.03799999999995,2.16,73.1066666667,1.0,9.105,16.0,36.0,3.0,95.0,8.86,336.53,217.0,19.0,39.0983,91.68,7.439999999999999,191.0,7.2,38.2,92.0,3.2,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
K3 I1 O1,1.0284,1451.24,0.0,9.0,1.7120000000000002,3.44,1.0,5.0,0.0,54.8,1.8,1.0,17.0,0.82,290.248,2.16,73.1066666667,1.0,9.105,16.0,36.0,3.0,96.0,8.56,336.53,217.0,19.0,39.0983,91.68,7.439999999999999,192.0,7.2,38.400000000000006,93.0,3.2,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
K1 Ag1 Br3,0.0,2368.86,1.0,15.0,2.326,2.96,1.0,5.0,5.0,265.8,3.0,17.0,17.0,2.96,473.7720000000001,2.4000000000000004,29.48,17.0,16.33,16.0,63.0,95.0,95.0,11.63,265.8,165.0,35.0,79.904,78.24000000000001,5.279999999999999,353.0,12.6,70.6,92.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Ag1 Cl3,0.0,2086.26,1.0,15.0,2.446,3.16,1.0,5.0,5.0,171.6,3.0,17.0,17.0,3.16,417.252,2.4000000000000004,24.4975,7.0,16.33,16.0,63.0,94.0,94.0,12.23,171.6,165.0,17.0,35.453,78.24000000000001,5.279999999999999,350.0,12.6,70.0,91.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Ag1 F3,0.0,1731.96,1.0,15.0,2.938,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,346.39200000000005,2.4000000000000004,9.7075,7.0,9.7075,16.0,63.0,93.0,93.0,14.69,53.5,214.0,9.0,18.9984032,101.76,5.279999999999999,347.0,12.6,69.39999999999999,90.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 As1 O3,3.0119,1590.9299999999998,2.0,15.0,2.664,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,318.186,1.2000000000000002,9.105,6.0,9.105,15.0,64.0,87.0,87.0,13.32,54.8,217.0,8.0,15.9994,89.04,4.72,348.0,12.8,69.6,84.0,3.2,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
K1 Au1 I3,0.6459,2834.41,1.0,15.0,2.268,2.66,1.0,5.0,5.0,336.53,3.0,17.0,17.0,2.66,566.8820000000001,2.4000000000000004,43.015,17.0,16.7,16.0,63.0,96.0,96.0,11.34,386.85,165.0,53.0,126.90447,78.24000000000001,5.279999999999999,357.0,12.6,71.39999999999999,93.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Be1 F3,7.0613,2057.03,1.0,15.0,2.866,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,411.406,2.4000000000000004,9.7075,7.0,7.89,16.0,54.0,93.0,93.0,14.33,53.5,214.0,9.0,18.9984032,94.32,7.44,349.0,10.8,69.8,90.0,0.0,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Bi1 O3,0.4914,1045.33,2.0,15.0,2.632,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,209.066,1.2000000000000002,9.105,6.0,9.105,15.0,64.0,87.0,87.0,13.16,54.8,217.0,8.0,15.9994,69.44,4.72,350.0,12.8,70.0,84.0,3.2,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
K1 Br1 O3,3.8569,766.7299999999999,2.0,17.0,2.8200000000000003,3.44,2.0,5.0,4.0,54.8,3.4,16.0,17.0,3.44,153.346,1.36,9.105,6.0,9.105,16.0,66.0,87.0,95.0,14.1,54.8,217.0,8.0,15.9994,65.28,4.880000000000001,359.0,13.2,71.8,92.0,3.2,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
K1 C1 O3,0.8756,4323.929999999999,2.0,14.0,2.738,3.44,2.0,4.0,4.0,54.8,2.8,16.0,16.0,3.44,864.7860000000001,1.44,9.105,6.0,5.64,15.0,63.0,87.0,87.0,13.69,54.8,217.0,8.0,15.9994,95.76,4.640000000000001,341.0,12.6,68.19999999999999,84.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
K1 Ca1 Br3,4.4047,2248.9300000000003,1.0,15.0,2.14,2.96,1.0,5.0,5.0,265.8,3.0,17.0,17.0,2.96,449.786,2.4000000000000004,29.48,17.0,29.48,16.0,54.0,95.0,95.0,10.7,265.8,165.0,35.0,79.904,78.24000000000001,7.44,295.0,10.8,59.0,92.0,4.800000000000001,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Ca1 Cl3,5.5615,1966.33,1.0,15.0,2.26,3.16,1.0,5.0,5.0,171.6,3.0,17.0,17.0,3.16,393.266,2.4000000000000004,24.4975,7.0,24.4975,16.0,54.0,94.0,94.0,11.3,171.6,165.0,17.0,35.453,78.24000000000001,7.44,292.0,10.8,58.4,91.0,0.0,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Ca1 F3,6.6502,1612.03,1.0,15.0,2.752,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,322.406,2.4000000000000004,9.7075,7.0,9.7075,16.0,54.0,93.0,93.0,13.76,53.5,214.0,9.0,18.9984032,101.76,7.44,289.0,10.8,57.8,90.0,0.0,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Cd1 Cl3,3.5095,1445.55,1.0,15.0,2.398,3.16,1.0,5.0,5.0,171.6,3.0,17.0,17.0,3.16,289.11,2.4000000000000004,24.4975,7.0,19.495,16.0,64.0,94.0,94.0,11.99,171.6,165.0,17.0,35.453,70.80000000000001,5.04,355.0,12.8,71.0,91.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Cd1 F3,3.3539,1091.25,1.0,15.0,2.89,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,218.25,2.4000000000000004,9.7075,7.0,9.7075,16.0,64.0,93.0,93.0,14.45,53.5,214.0,9.0,18.9984032,94.32,5.04,352.0,12.8,70.39999999999999,90.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Cr1 F3,1.4898,2677.03,1.0,15.0,2.884,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,535.406,2.4000000000000004,9.7075,7.0,9.7075,16.0,58.0,93.0,93.0,14.42,53.5,214.0,9.0,18.9984032,102.72,6.48,331.0,11.6,66.2,90.0,1.6,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Cu1 Cl3,0.2682,2209.1,1.0,15.0,2.44,3.16,1.0,5.0,5.0,171.6,3.0,17.0,17.0,3.16,441.82,2.4000000000000004,24.4975,7.0,11.07,16.0,63.0,94.0,94.0,12.2,171.6,165.0,17.0,35.453,78.24000000000001,5.279999999999999,349.0,12.6,69.8,91.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Cu1 F3,0.0,1854.8,1.0,15.0,2.932,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,370.96,2.4000000000000004,9.7075,7.0,9.7075,16.0,63.0,93.0,93.0,14.66,53.5,214.0,9.0,18.9984032,101.76,5.279999999999999,346.0,12.6,69.2,90.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Ge1 Br3,2.9026,2345.33,1.0,17.0,2.342,2.96,1.0,5.0,5.0,265.8,3.4,17.0,17.0,2.96,469.066,1.92,29.48,17.0,23.005,16.0,66.0,95.0,95.0,11.71,265.8,165.0,35.0,79.904,78.24000000000001,4.880000000000001,367.0,13.2,73.4,92.0,3.2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
K1 Ge1 Cl3,2.8924,2062.73,1.0,17.0,2.462,3.16,1.0,5.0,5.0,171.6,3.4,17.0,17.0,3.16,412.546,1.92,24.4975,7.0,23.005,16.0,66.0,94.0,94.0,12.31,171.6,165.0,17.0,35.453,78.24000000000001,4.880000000000001,364.0,13.2,72.8,91.0,3.2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
K1 Hg1 F3,0.6082,731.3499999999999,1.0,15.0,2.952,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,146.27,2.4000000000000004,9.7075,7.0,9.7075,16.0,64.0,93.0,93.0,14.76,53.5,214.0,9.0,18.9984032,87.6,5.04,353.0,12.8,70.6,90.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 I1 O3,2.7868,887.78,2.0,17.0,2.76,3.44,2.0,5.0,4.0,54.8,3.4,16.0,17.0,3.44,177.55599999999998,1.36,9.105,6.0,9.105,16.0,66.0,87.0,96.0,13.8,54.8,217.0,8.0,15.9994,65.28,4.880000000000001,360.0,13.2,72.0,93.0,3.2,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
K1 In1 Br3,2.3376,1563.68,1.0,16.0,2.2960000000000003,2.96,1.0,5.0,5.0,265.8,3.2,17.0,17.0,2.96,312.736,2.16,29.48,17.0,24.26,16.0,65.0,95.0,95.0,11.48,265.8,165.0,35.0,79.904,57.6,4.800000000000001,363.0,13.0,72.6,92.0,3.2,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
K1 Ir1 O3,0.0,3239.93,2.0,12.0,2.668,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,647.9860000000001,1.92,9.105,6.0,9.105,15.0,58.0,87.0,87.0,13.34,54.8,217.0,8.0,15.9994,103.20000000000002,5.28,324.0,11.6,64.8,84.0,2.24,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
K1 Mg1 F3,6.9537,1420.03,1.0,15.0,2.814,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,284.00600000000003,2.4000000000000004,9.7075,7.0,9.7075,16.0,54.0,93.0,93.0,14.07,53.5,214.0,9.0,18.9984032,94.32,7.44,350.0,10.8,70.0,90.0,0.0,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Mg1 H3,2.458,1301.56,0.0,0.0,1.746,2.2,1.0,0.0,0.0,14.01,0.0,1.0,2.0,2.2,260.312,0.0,6.615,1.0,6.615,1.0,6.0,92.0,92.0,8.73,14.01,35.0,1.0,1.00794,11.2,0.3200000000000001,347.0,1.2000000000000002,69.39999999999999,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1 Mn1 Cl3,0.0,2370.33,1.0,15.0,2.37,3.16,1.0,5.0,5.0,171.6,3.0,17.0,17.0,3.16,474.066,2.4000000000000004,24.4975,7.0,10.4875862069,16.0,59.0,94.0,94.0,11.85,171.6,165.0,17.0,35.453,76.32000000000001,6.24,337.0,11.8,67.4,91.0,1.6,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Mn1 F3,2.4058,2016.03,1.0,15.0,2.862,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,403.206,2.4000000000000004,9.7075,7.0,9.7075,16.0,59.0,93.0,93.0,14.31,53.5,214.0,9.0,18.9984032,99.84,6.24,334.0,11.8,66.8,90.0,1.6,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 N1 O3,2.9384,563.98,2.0,15.0,2.8360000000000003,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,112.796,1.2000000000000002,9.105,6.0,9.105,15.0,64.0,87.0,87.0,14.18,54.8,217.0,8.0,15.9994,95.76,4.72,346.0,12.8,69.2,84.0,0.0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
K1 Nb1 O3,2.2934,3250.93,2.0,12.0,2.548,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,650.186,1.92,9.105,6.0,9.105,15.0,54.0,87.0,87.0,12.74,54.8,217.0,8.0,15.9994,104.16,6.24,311.0,10.8,62.2,84.0,1.2800000000000002,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
K1 Ni1 Cl3,0.7023,2579.33,1.0,15.0,2.442,3.16,1.0,5.0,5.0,171.6,3.0,17.0,17.0,3.16,515.866,2.4000000000000004,24.4975,7.0,10.32,16.0,62.0,94.0,94.0,12.21,171.6,165.0,17.0,35.453,78.24000000000001,5.5200000000000005,346.0,12.4,69.2,91.0,2.5600000000000005,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Ni1 F3,0.0,2225.03,1.0,15.0,2.934,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,445.006,2.4000000000000004,9.7075,7.0,9.7075,16.0,62.0,93.0,93.0,14.67,53.5,214.0,9.0,18.9984032,101.76,5.5200000000000005,343.0,12.4,68.6,90.0,2.5600000000000005,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
K1 Np1 O3,0.0,1417.9299999999998,2.0,12.0,2.5,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,283.586,1.92,9.105,6.0,9.105,15.0,52.0,87.0,87.0,12.5,54.8,217.0,8.0,15.9994,65.44,6.720000000000001,286.0,10.4,57.2,84.0,0.32,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
K1 P1 O3,5.1269,818.2299999999999,2.0,15.0,2.666,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,163.64600000000002,1.2000000000000002,9.105,6.0,9.105,15.0,64.0,87.0,87.0,13.33,54.8,227.0,8.0,15.9994,70.24000000000001,4.72,347.0,12.8,69.4,84.0,0.0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
K1 P1 S3,1.7149,1818.91,2.0,15.0,2.15,2.58,2.0,4.0,4.0,317.3,3.0,16.0,16.0,2.58,363.782,1.2000000000000002,25.786875,6.0,22.5702380952,15.0,64.0,88.0,88.0,10.75,388.36,227.0,16.0,32.065,56.32000000000001,4.72,350.0,12.8,70.0,85.0,0.0,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
K1 P1 Se3,1.4182,2135.83,2.0,15.0,2.132,2.55,2.0,4.0,4.0,317.3,3.0,16.0,16.0,2.55,427.166,1.2000000000000002,25.92,16.0,22.5702380952,15.0,64.0,89.0,89.0,10.66,494.0,227.0,34.0,78.96,69.76,4.72,353.0,12.8,70.6,86.0,4.800000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
K1 Pa1 O3,3.0477,2345.93,2.0,12.0,2.528,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,469.186,1.92,9.105,6.0,9.105,15.0,52.0,87.0,87.0,12.64,54.8,217.0,8.0,15.9994,82.56,6.720000000000001,282.0,10.4,56.4,84.0,0.32,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
K1 Sb1 O3,2.6808,1404.71,2.0,15.0,2.638,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,280.942,1.2000000000000002,9.105,6.0,9.105,15.0,64.0,87.0,87.0,13.19,54.8,217.0,8.0,15.9994,89.04,4.72,349.0,12.8,69.8,84.0,3.2,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
K1 Si1 H3,2.5733,2065.56,0.0,2.0,1.864,2.2,1.0,2.0,0.0,14.01,0.4,1.0,14.0,2.2,413.112,0.6400000000000001,6.615,1.0,6.615,13.0,18.0,92.0,92.0,9.32,14.01,35.0,1.0,1.00794,16.320000000000004,4.16,357.0,3.6000000000000005,71.4,89.0,0.0,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002
K1 Sn1 F3,3.5114,1002.11,1.0,17.0,2.944,3.98,1.0,5.0,5.0,53.5,3.4,17.0,17.0,3.98,200.422,1.92,9.7075,7.0,9.7075,16.0,66.0,93.0,93.0,14.72,53.5,214.0,9.0,18.9984032,81.6,4.880000000000001,362.0,13.2,72.4,90.0,3.2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
K1 Sn1 I3,1.9381,2002.16,1.0,17.0,2.152,2.66,1.0,5.0,5.0,336.53,3.4,17.0,17.0,2.66,400.432,1.92,43.015,17.0,33.285,16.0,66.0,96.0,96.0,10.76,386.85,165.0,53.0,126.90447,58.08,4.880000000000001,371.0,13.2,74.19999999999999,93.0,3.2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
